År;Oslo;Tromsø;Produksjon i alt;Import;Eksport
2000;97.79 ;100.76 ;142816;1474;20529
2001;186.28 ;188.83 ;121608;10760;7162
2002;198.00 ;199.68 ;130473;5329;15002
2003;294.10 ;290.67 ;107245;13472;5587
2004;246.10 ;243.79 ;110472;15334;3842
2005;232.87 ;235.04 ;137811;3653;15695
2006;396.42 ;394.57 ;121400;9802;8947
2007;206.43 ;235.69 ;137164;5284;15320
2008;324.50 ;410.09 ;142108;3414;17291
2009;295.59 ;310.88 ;131773;5650;14633
2010;436.01 ;461.52 ;123630;14673;7123
2011;363.20 ;371.38 ;127631;11255;14329
2012;221.83 ;233.89 ;147716;4190;22006
2013;292.28 ;300.72 ;133975;10135;15140
2014;228.90 ;262.67 ;141968;6347;21932
2015;177.39 ;182.59 ;144511;7411;22038
2016;242.45 ;232.34 ;148989;5741;22151
2017;270.88 ;240.52 ;149402;6112;21276
2018;419.03 ;419.45 ;147057;8340;18489
2019;387.02 ;377.50 ;134882;12353;12309
2020;97.71 ;93.46 ;154197;4496;24968
2021;756.50 ;357.88 ;157093;8235;25819
